"patient_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"AF035747",-0.00691402,-8.8715e-05,-0.000243918,-0.000449488,-0.000147725,-0.000237612,-0.000246289,-0.000124737,-7.42885e-05,-0.000271095
"AF035746",-0.00710625,-9.66653e-05,-0.000401593,-0.000417821,-0.000256571,-0.000175222,-0.000327497,-0.000374799,-0.000203414,-0.000376498
"AF035744",-0.00677509,-0.000194069,-0.000285845,-0.000631079,-0.000184508,-0.000224444,-0.000234548,-0.000120929,-0.00017816,-0.00032638
"AF035743",-0.00460928,5.42862e-05,-0.000235554,-0.000154397,-0.000331171,-0.000284432,-9.81458e-05,0.00010839,-5.22001e-05,-0.000330901
"AF035742",-0.00688826,-0.000210754,-0.000190608,-0.000517507,-7.87555e-05,-0.000227128,-0.000173061,-0.000173568,-0.000189139,-0.000262529
"AF035741",-0.0059031,-0.000119257,1.74726e-05,-0.000498659,2.12778e-05,-0.000259226,-0.000284329,-0.000479224,-9.177e-05,-0.000238747
"AF035740",-0.00683289,1.37196e-05,-0.000223134,-0.000445276,-0.000232139,-0.000341727,-9.72067e-05,-0.000194882,-5.95809e-05,-0.00017479
"AF035739",-0.00628778,-8.57233e-06,-0.000303606,-0.000403713,-6.64391e-05,-0.00028141,-0.000332805,-8.91902e-05,-6.5498e-05,-0.000134599
"AF035738",-0.0067314,-5.75307e-05,-0.000328808,-0.000453245,-0.000175135,-0.000216574,-0.000259033,-0.00029253,-0.000353199,-0.000275867
"AF035737",-0.00685078,-6.52222e-05,-0.000338673,-0.000436375,-0.000194438,-0.000257084,-0.000258413,-0.000181461,-0.000227019,-0.000394813
"AF035736",-0.00647434,-0.000143298,-0.000309598,-0.000358197,-0.000181379,-0.000520882,-0.000626241,-0.000103265,-0.000123284,-5.31749e-05
"AF035735",-0.00615969,-0.000401852,-0.000110111,-0.000420403,-0.000314887,-0.000193039,-0.000243813,0.000203291,6.92672e-05,-0.000338272
"AF035734",-0.00664737,-0.000381175,-0.000243696,-0.000417134,-0.000171235,-0.000288006,-0.000211018,-0.00017863,-0.000277822,-5.7974e-05
"AF035731",-0.00693072,-0.000168605,-0.000268637,-0.000439158,7.39967e-05,-0.000142417,-0.000205915,-0.000202083,-0.000259554,-0.000295136
"AF035730",-0.00646738,-8.12525e-05,-0.00014031,-0.000278376,-0.00041356,-0.000212277,-0.000380598,-0.000182832,-0.000165746,-0.00019384
"AF035729",-0.00703026,-0.000217768,-0.000241454,-0.000509413,-0.000280253,-0.00037387,-0.000319817,-0.000249343,-0.000431487,-0.000286466
"AF035728",-0.00507304,-0.00014033,-4.61562e-05,-0.000379498,3.52946e-05,-8.40948e-05,-0.000123477,9.51063e-05,-0.000108963,-0.000166521
"AF035726",-0.00626847,-0.000134224,-0.000155065,-0.000339319,-0.000380794,-0.000605835,-0.000186444,-0.00020826,-0.000166737,-0.000301676
"AF035722",-0.00677931,-4.88871e-05,-0.000279048,-0.000576653,-8.43859e-05,-0.000342375,-0.000198689,-0.000142243,-0.000225187,-0.000240039
"AF035625",-0.00705441,-0.00012402,-0.000238569,-0.000420844,-2.74941e-05,-0.000229865,-0.000271862,-0.000348868,-0.000187369,-0.000354615
"AF035623",-0.00680562,0.000144952,-0.00027074,-0.00044095,1.19963e-05,-0.000284666,-0.000118833,-0.000171596,-0.000159736,-0.000410872
"AF035622",-0.00683503,-0.00015061,-0.000143825,-0.000415905,-0.000122343,-0.000209047,-0.000353372,-0.000326761,-0.000152992,-0.000344106
"AF035613",-0.00669982,-2.66628e-05,-0.000324143,-0.000512189,-0.00024635,-0.000446202,-0.000338569,-0.000189745,-0.000224735,-0.000297774
"AF035609",-0.00679923,-0.000414263,-0.000300775,-0.000458669,-0.000121859,-0.000325143,-0.000274076,-0.000233151,-0.000189129,-0.000251065
"AF035599",-0.00681147,-8.96044e-05,-0.000147996,-0.000493921,-5.11818e-05,-0.000345133,-0.000217346,-0.000137656,-0.000170788,-0.000343793
"AF035597",-0.00594155,-0.000248618,-0.000638924,-0.000492068,-6.95417e-05,-0.000210532,-0.000211055,-0.00019605,-0.000282431,-0.000181391
"AF035590",-0.00682683,-0.00037223,-0.000355215,-0.000352268,-7.7816e-06,-0.000343849,-0.00019212,-0.00015352,-0.000296827,-0.000259018
"AF035588",-0.00636418,-0.000156979,-0.000206197,-0.000298422,4.37196e-05,-0.000425538,-6.60042e-05,-0.000221502,-0.000120957,-0.000317663
"AF035587",-0.0062933,-0.00053785,-0.000185787,-0.000469816,-9.73657e-06,-0.000149436,-0.000184672,-0.000184988,-0.000134428,-0.000378023
"AF035586",-0.00667869,-0.000319642,-0.00032952,-0.000426154,-4.11771e-05,-0.000180994,-0.000324342,-0.000336072,-0.000366534,-0.000212105
"AF035585",-0.00650816,-0.000166272,-0.000231756,-0.00032698,-4.4566e-05,-0.000403956,-7.12415e-05,-0.000211699,-0.000190693,-0.000448038
"AF035584",-0.00227766,0.000422326,-0.000246331,-0.000227508,-0.000190426,-0.000192992,0.000455172,-0.000276972,0.000197198,0.00016132
"AF035583",-0.00689835,-0.000113702,-0.000248304,-0.000352469,-0.000273875,-0.000413161,-0.000348539,-0.000335587,-0.000187155,-0.000229021
"AF035580",-0.00715485,-0.000340806,-0.00020942,-0.000557503,-0.000109015,-0.000327575,-0.000307615,-0.000194183,-0.000305166,-0.000291406
"AF035579",-0.00652997,-0.000269348,-0.000187201,-0.00040412,-0.000108836,-0.000364396,-0.000321694,-0.000330179,-0.00010165,-8.24204e-05
"AF035578",-0.00675424,-6.84491e-05,-0.000190118,-0.000458286,-0.000127318,-0.000307562,-0.000408576,-0.000202094,-0.0002501,-0.000338714
"AF035577",-0.00680801,-6.68864e-05,-0.000285068,-0.000452779,-0.000142999,-0.000269069,-0.000489296,-0.000279561,-0.000357006,-0.000324654
"AF035575",-0.00718039,-0.000170271,-0.000328062,-0.000487718,-0.000119573,-0.000376321,-0.000320466,-0.000265298,-0.000201403,-0.000245321
"AF035570",-0.00634617,-0.000291167,-0.000202142,-0.000294905,-2.56292e-05,-0.000213025,-0.000707106,-7.68206e-05,-0.000185203,-0.000258478
"AF035569",-0.00677149,-0.0001377,-0.00024031,-0.000598566,-0.000178996,-0.000216241,-0.000254917,-0.000211048,-0.000199143,-0.000387964
"AF035568",-0.00676959,-0.000116573,-0.000201198,-0.000414714,2.60616e-05,-0.000412114,-0.000110757,-0.000191894,-0.000335699,-0.0003032
"AF035567",-0.00701306,-0.000127247,-0.000218869,-0.000416433,-6.98079e-05,-0.000212768,-0.000263363,-0.000258214,-0.000286817,-0.000285755
"AF035563",-0.00705183,-7.38531e-05,-0.00013089,-0.000557043,-0.000145847,-0.00024045,-0.00028461,-0.000193864,-0.000184857,-0.00032255
"AF035555",-0.00703691,0.000115757,-0.000365147,-0.000452567,-0.000217229,-0.000301477,-0.00027079,-0.000188873,-0.000189711,-0.000117412
"AF035552",-0.00687443,-0.000248975,-0.000245946,-0.000501777,-0.000203681,-0.000269724,-0.000263391,-0.000177496,-0.000227744,-0.000258415
"AF035546",-0.00568731,-3.14064e-05,-0.000171766,-0.000487094,-0.000170361,-0.000302844,-0.00024682,-0.000229426,-0.000218479,-0.000314867
"AF035544",-0.00692608,1.63484e-05,-0.000264939,-0.000469665,-0.000236834,-0.000315542,-0.0003771,-0.000200639,-0.000247163,-0.000277541
